,cik,companyName,stockSymbol,with10K
498,0000046195,Bank Of Hawaii Corp,boh,1
499,0001038205,Bank Of The Ozarks Inc,ozrk,1
500,cr480228,"Bank of America, N.A.",,0
501,0001403475,Bank of Marin Bancorp,bmrc,1
502,0001390777,Bank of New York Mellon CORP,bk,1
503,cr804963,Bank of the West,,0
504,0001504008,"BankUnited, Inc.",bku,1
505,0001518222,"Bankrate, Inc.",rate,1
506,0001341470,"Banks.com, Inc.",bnnx,1
507,0001505732,"Bankwell Financial Group, Inc.",bwfg,1
508,0000009892,Bard C R Inc /Nj/,bcr,1
509,0000890491,Barnes & Noble Inc,bks,1
510,0000009984,Barnes Group Inc,b,1
511,0001348334,Barracuda Networks Inc,cuda,1
512,0001109189,Basic Energy Services Inc,bas,1
513,0000010329,Bassett Furniture Industries Inc,bset,1
514,0001659228,"Bats Global Markets, Inc.",bats,0
515,0001620546,Baxalta Inc,bxlt,1
516,0000010456,Baxter International Inc,bax,1
517,0001330421,Bazaarvoice Inc,bv,1
518,0000092230,Bb&T Corp,bbt,1
519,0001128361,Bbcn Bancorp Inc,bbcn,1
520,0001124941,Beacon Roofing Supply Inc,becn,1
521,0001423357,Beamz Interactive Inc,bzic,1
522,0000915840,Beazer Homes Usa Inc,bzh,1
523,0000010795,Becton Dickinson & Co,bdx,1
524,0000886158,Bed Bath & Beyond Inc,bbby,1
525,0000729580,Bel Fuse Inc /Nj,belfb,1
526,0000913142,Belden Inc.,bdc,1
527,0000863436,Benchmark Electronics Inc,bhe,1
528,0001431074,"Bergio International, Inc.",brgo,1
529,0001067983,Berkshire Hathaway Inc,brk.a,1
530,0001108134,Berkshire Hills Bancorp Inc,bhlb,1
531,0000764478,Best Buy Co Inc,bby,1
532,0000315858,Bfc Financial Corp,bfcf,1
533,0001324105,"Bidz.com, Inc.",,1
534,0001728599,"Big Time Holdings, Inc.",,0
535,0001381325,"BigBand Networks, Inc.",,1
